Dex,Name,Type1,Type2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Level-Up Moves
11,Metapod,Bug,,50,20,55,25,25,30,205,Harden (Lv 0)
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,Gust (Lv 0); Harden (Lv 1); Tackle (Lv 1); String Shot (Lv 1); Bug Bite (Lv 1); Supersonic (Lv 4); Confusion (Lv 8); Poison Powder (Lv 12); Stun Spore (Lv 12); Sleep Powder (Lv 12); Psybeam (Lv 16); Whirlwind (Lv 20); Air Slash (Lv 24); Safeguard (Lv 28); Bug Buzz (Lv 32); Tailwind (Lv 36); Rage Powder (Lv 40); Quiver Dance (Lv 44)
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,Poison Sting (Lv 1); String Shot (Lv 1); Bug Bite (Lv 9)
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,Harden (Lv 0)
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,Twineedle (Lv 0); Fury Attack (Lv 1); Rage (Lv 14); Pursuit (Lv 17); Focus Energy (Lv 20); Venoshock (Lv 23); Assurance (Lv 26); Toxic Spikes (Lv 29); Pin Missile (Lv 32); Poison Jab (Lv 35); Agility (Lv 38); Endeavor (Lv 41); Fell Stinger (Lv 44)
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,Tackle (Lv 1); Sand Attack (Lv 5); Gust (Lv 9); Quick Attack (Lv 13); Whirlwind (Lv 17); Twister (Lv 21); Feather Dance (Lv 25); Agility (Lv 29); Wing Attack (Lv 33); Roost (Lv 37); Tailwind (Lv 41); Mirror Move (Lv 45); Air Slash (Lv 49); Hurricane (Lv 53)
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,Tackle (Lv 1); Sand Attack (Lv 1); Gust (Lv 1); Quick Attack (Lv 13); Whirlwind (Lv 17); Twister (Lv 22); Feather Dance (Lv 27); Agility (Lv 32); Wing Attack (Lv 37); Roost (Lv 42); Tailwind (Lv 47); Mirror Move (Lv 52); Air Slash (Lv 57); Hurricane (Lv 62)
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,Hurricane (Lv 1); Tackle (Lv 1); Sand Attack (Lv 1); Gust (Lv 1); Quick Attack (Lv 1); Whirlwind (Lv 17); Twister (Lv 22); Feather Dance (Lv 27); Agility (Lv 32); Wing Attack (Lv 38); Roost (Lv 44); Tailwind (Lv 50); Mirror Move (Lv 56); Air Slash (Lv 62)
19,Rattata,Normal,,30,56,35,25,35,72,253,Tackle (Lv 1); Tail Whip (Lv 1); Quick Attack (Lv 4); Focus Energy (Lv 7); Bite (Lv 10); Pursuit (Lv 13); Hyper Fang (Lv 16); Assurance (Lv 19); Crunch (Lv 22); Sucker Punch (Lv 25); Super Fang (Lv 28); Double-Edge (Lv 31); Endeavor (Lv 34)
20,Raticate,Normal,,55,81,60,50,70,97,413,Scary Face (Lv 0); Swords Dance (Lv 1); Tackle (Lv 1); Tail Whip (Lv 1); Quick Attack (Lv 1); Focus Energy (Lv 1); Bite (Lv 10); Pursuit (Lv 13); Hyper Fang (Lv 16); Assurance (Lv 19); Crunch (Lv 24); Sucker Punch (Lv 29); Super Fang (Lv 34); Double-Edge (Lv 39); Endeavor (Lv 44)
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,Peck (Lv 1); Growl (Lv 1); Leer (Lv 4); Pursuit (Lv 8); Fury Attack (Lv 11); Aerial Ace (Lv 15); Mirror Move (Lv 18); Assurance (Lv 22); Agility (Lv 25); Focus Energy (Lv 29); Roost (Lv 32); Drill Peck (Lv 36)
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,Drill Run (Lv 1); Pluck (Lv 1); Peck (Lv 1); Growl (Lv 1); Leer (Lv 1); Pursuit (Lv 1); Fury Attack (Lv 11); Aerial Ace (Lv 15); Mirror Move (Lv 18); Assurance (Lv 23); Agility (Lv 27); Focus Energy (Lv 32); Roost (Lv 36); Drill Peck (Lv 41)
23,Ekans,Poison,,35,60,44,40,54,55,288,Wrap (Lv 1); Leer (Lv 1); Poison Sting (Lv 4); Bite (Lv 9); Glare (Lv 12); Screech (Lv 17); Acid (Lv 20); Swallow (Lv 25); Stockpile (Lv 25); Spit Up (Lv 25); Acid Spray (Lv 28); Sludge Bomb (Lv 33); Gastro Acid (Lv 36); Belch (Lv 38); Haze (Lv 41); Coil (Lv 44); Gunk Shot (Lv 49)
24,Arbok,Poison,,60,95,69,65,79,80,448,Crunch (Lv 0); Wrap (Lv 1); Poison Sting (Lv 1); Leer (Lv 1); Bite (Lv 1); Fire Fang (Lv 1); Ice Fang (Lv 1); Thunder Fang (Lv 1); Glare (Lv 12); Screech (Lv 17); Acid (Lv 20); Swallow (Lv 27); Stockpile (Lv 27); Spit Up (Lv 27); Acid Spray (Lv 32); Sludge Bomb (Lv 39); Gastro Acid (Lv 44); Belch (Lv 48); Haze (Lv 51); Coil (Lv 56); Gunk Shot (Lv 63)
25,Pikachu,Electric,,35,55,40,50,50,90,320,Nuzzle (Lv 1); Nasty Plot (Lv 1); Charm (Lv 1); Sweet Kiss (Lv 1); Play Nice (Lv 1); Quick Attack (Lv 1); Tail Whip (Lv 1); Thunder Shock (Lv 1); Growl (Lv 1); Thunder Wave (Lv 4); Double Team (Lv 8); Electro Ball (Lv 12); Feint (Lv 16); Spark (Lv 20); Agility (Lv 24); Iron Tail (Lv 28); Discharge (Lv 32); Thunderbolt (Lv 36); Light Screen (Lv 40); Thunder (Lv 44)
26,Raichu,Electric,,60,90,55,90,80,110,485,Thunder Punch (Lv 0); Electro Ball (Lv 1); Discharge (Lv 1); Nasty Plot (Lv 1); Feint (Lv 1); Iron Tail (Lv 1); Spark (Lv 1); Charm (Lv 1); Sweet Kiss (Lv 1); Play Nice (Lv 1); Nuzzle (Lv 1); Quick Attack (Lv 1); Agility (Lv 1); Thunder (Lv 1); Thunder Wave (Lv 1); Thunder Shock (Lv 1); Growl (Lv 1); Tail Whip (Lv 1); Double Team (Lv 1); Light Screen (Lv 1); Thunderbolt (Lv 5)
27,Sandshrew,Ground,,50,75,85,20,30,40,300,Scratch (Lv 1); Defense Curl (Lv 1); Poison Sting (Lv 3); Sand Attack (Lv 6); Rollout (Lv 9); Fury Cutter (Lv 12); Rapid Spin (Lv 15); Bulldoze (Lv 18); Swift (Lv 21); Fury Swipes (Lv 24); Agility (Lv 27); Slash (Lv 30); Dig (Lv 33); Gyro Ball (Lv 36); Swords Dance (Lv 39); Sandstorm (Lv 42); Earthquake (Lv 45)
28,Sandslash,Ground,,75,100,110,45,55,65,450,Scratch (Lv 1); Crush Claw (Lv 1); Sand Attack (Lv 1); Poison Sting (Lv 1); Defense Curl (Lv 1); Rollout (Lv 9); Fury Cutter (Lv 12); Rapid Spin (Lv 15); Bulldoze (Lv 18); Swift (Lv 21); Fury Swipes (Lv 26); Sand Tomb (Lv 31); Slash (Lv 36); Dig (Lv 41); Gyro Ball (Lv 46); Swords Dance (Lv 51); Sandstorm (Lv 56); Earthquake (Lv 61)
29,Nidoran♀,Poison,,55,47,52,40,40,41,275,Growl (Lv 1); Poison Sting (Lv 1); Scratch (Lv 5); Tail Whip (Lv 10); Fury Swipes (Lv 15); Toxic Spikes (Lv 20); Double Kick (Lv 25); Bite (Lv 30); Helping Hand (Lv 35); Toxic (Lv 40); Flatter (Lv 45); Crunch (Lv 50); Earth Power (Lv 55)
30,Nidorina,Poison,,70,62,67,55,55,56,365,Growl (Lv 1); Poison Sting (Lv 1); Scratch (Lv 1); Tail Whip (Lv 1); Fury Swipes (Lv 15); Toxic Spikes (Lv 22); Double Kick (Lv 29); Bite (Lv 36); Helping Hand (Lv 43); Toxic (Lv 50); Flatter (Lv 57); Crunch (Lv 64); Earth Power (Lv 71)
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,Superpower (Lv 0); Fury Swipes (Lv 1); Toxic Spikes (Lv 1); Double Kick (Lv 1); Bite (Lv 1); Helping Hand (Lv 1); Toxic (Lv 1); Flatter (Lv 1); Crunch (Lv 1); Earth Power (Lv 1); Growl (Lv 1); Poison Sting (Lv 1); Scratch (Lv 1); Tail Whip (Lv 1)
32,Nidoran♂,Poison,,46,57,40,40,40,50,273,Leer (Lv 1); Poison Sting (Lv 1); Peck (Lv 5); Focus Energy (Lv 10); Fury Attack (Lv 15); Toxic Spikes (Lv 20); Double Kick (Lv 25); Horn Attack (Lv 30); Helping Hand (Lv 35); Toxic (Lv 40); Flatter (Lv 45); Poison Jab (Lv 50); Earth Power (Lv 55)
33,Nidorino,Poison,,61,72,57,55,55,65,365,Leer (Lv 1); Poison Sting (Lv 1); Peck (Lv 1); Focus Energy (Lv 1); Fury Attack (Lv 15); Toxic Spikes (Lv 22); Double Kick (Lv 29); Horn Attack (Lv 36); Helping Hand (Lv 43); Toxic (Lv 50); Flatter (Lv 57); Poison Jab (Lv 64); Earth Power (Lv 71)
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,Megahorn (Lv 0); Fury Attack (Lv 1); Toxic Spikes (Lv 1); Double Kick (Lv 1); Horn Attack (Lv 1); Helping Hand (Lv 1); Toxic (Lv 1); Flatter (Lv 1); Poison Jab (Lv 1); Earth Power (Lv 1); Leer (Lv 1); Poison Sting (Lv 1); Peck (Lv 1); Focus Energy (Lv 1)
35,Clefairy,Fairy,,70,45,48,60,65,35,323,Pound (Lv 1); Growl (Lv 1); Sing (Lv 1); Defense Curl (Lv 1); Disarming Voice (Lv 1); Splash (Lv 1); Sweet Kiss (Lv 1); Charm (Lv 1); Copycat (Lv 1); Stored Power (Lv 4); Encore (Lv 8); After You (Lv 12); Life Dew (Lv 16); Metronome (Lv 20); Moonlight (Lv 24); Gravity (Lv 28); Meteor Mash (Lv 32); Follow Me (Lv 36); Cosmic Power (Lv 40); Moonblast (Lv 44); Healing Wish (Lv 48)
36,Clefable,Fairy,,95,70,73,95,90,60,483,Metronome (Lv 1); Meteor Mash (Lv 1); Moonblast (Lv 1); Life Dew (Lv 1)
37,Vulpix,Fire,,38,41,40,50,65,65,299,Tail Whip (Lv 1); Ember (Lv 1); Disable (Lv 4); Quick Attack (Lv 8); Spite (Lv 12); Incinerate (Lv 16); Confuse Ray (Lv 20); Will-O-Wisp (Lv 24); Extrasensory (Lv 28); Flamethrower (Lv 32); Imprison (Lv 36); Fire Spin (Lv 40); Safeguard (Lv 44); Inferno (Lv 48); Fire Blast (Lv 52)
38,Ninetales,Fire,,73,76,75,81,100,100,505,Quick Attack (Lv 1); Flamethrower (Lv 1); Tail Whip (Lv 1)
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,Disarming Voice (Lv 1); Copycat (Lv 1); Sweet Kiss (Lv 1); Defense Curl (Lv 1); Charm (Lv 1); Sing (Lv 1); Disable (Lv 1); Pound (Lv 1); Echoed Voice (Lv 4); Covet (Lv 8); Stockpile (Lv 12); Spit Up (Lv 12); Swallow (Lv 12); Round (Lv 16); Rest (Lv 20); Body Slam (Lv 24); Mimic (Lv 28); Gyro Ball (Lv 32); Hyper Voice (Lv 36); Double-Edge (Lv 44)
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,Stockpile (Lv 1); Echoed Voice (Lv 1); Round (Lv 1); Copycat (Lv 1); Gyro Ball (Lv 1); Covet (Lv 1); Hyper Voice (Lv 1); Swallow (Lv 1); Spit Up (Lv 1); Disarming Voice (Lv 1); Pound (Lv 1); Sweet Kiss (Lv 1); Rest (Lv 1); Defense Curl (Lv 1); Mimic (Lv 1); Disable (Lv 1); Sing (Lv 1); Double-Edge (Lv 1); Body Slam (Lv 1); Charm (Lv 1); Play Rough (Lv 5)
41,Zubat,Poison,Flying,40,45,35,30,40,55,245,Absorb (Lv 1); Supersonic (Lv 1); Astonish (Lv 5); Mean Look (Lv 10); Poison Fang (Lv 15); Quick Guard (Lv 20); Air Cutter (Lv 25); Bite (Lv 30); Haze (Lv 35); Venoshock (Lv 40); Confuse Ray (Lv 45); Air Slash (Lv 50); Leech Life (Lv 55)
42,Golbat,Poison,Flying,75,80,70,65,75,90,455,Screech (Lv 1); Absorb (Lv 1); Supersonic (Lv 1); Astonish (Lv 1); Mean Look (Lv 1); Poison Fang (Lv 15); Quick Guard (Lv 20); Air Cutter (Lv 27); Bite (Lv 34); Haze (Lv 41); Venoshock (Lv 48); Confuse Ray (Lv 55); Air Slash (Lv 62); Leech Life (Lv 69)
43,Oddish,Grass,Poison,45,50,55,75,65,30,320,Absorb (Lv 1); Growth (Lv 1); Acid (Lv 4); Sweet Scent (Lv 8); Mega Drain (Lv 12); Poison Powder (Lv 14); Stun Spore (Lv 16); Sleep Powder (Lv 18); Giga Drain (Lv 20); Toxic (Lv 24); Moonblast (Lv 28); Grassy Terrain (Lv 32); Moonlight (Lv 36); Petal Dance (Lv 40)
44,Gloom,Grass,Poison,60,65,70,85,75,40,395,Acid (Lv 1); Absorb (Lv 1); Growth (Lv 1); Sweet Scent (Lv 1); Mega Drain (Lv 12); Poison Powder (Lv 14); Stun Spore (Lv 16); Sleep Powder (Lv 18); Giga Drain (Lv 20); Toxic (Lv 26); Moonblast (Lv 32); Grassy Terrain (Lv 38); Moonlight (Lv 44); Petal Dance (Lv 50)
45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,Petal Blizzard (Lv 0); Acid (Lv 1); Absorb (Lv 1); Mega Drain (Lv 1); Growth (Lv 1); Poison Powder (Lv 1); Stun Spore (Lv 1); Sleep Powder (Lv 1); Petal Dance (Lv 1); Toxic (Lv 1); Giga Drain (Lv 1); Sweet Scent (Lv 1); Moonlight (Lv 1); Grassy Terrain (Lv 1); Moonblast (Lv 1)
46,Paras,Bug,Grass,35,70,55,45,55,25,285,Scratch (Lv 1); Stun Spore (Lv 6); Poison Powder (Lv 6); Absorb (Lv 11); Fury Cutter (Lv 17); Spore (Lv 22); Slash (Lv 27); Growth (Lv 33); Giga Drain (Lv 38); Aromatherapy (Lv 43); Rage Powder (Lv 49); X-Scissor (Lv 54)
47,Parasect,Bug,Grass,60,95,80,60,80,30,405,Cross Poison (Lv 1); Scratch (Lv 1); Stun Spore (Lv 1); Poison Powder (Lv 1); Absorb (Lv 1); Fury Cutter (Lv 17); Spore (Lv 22); Slash (Lv 29); Growth (Lv 37); Giga Drain (Lv 44); Aromatherapy (Lv 51); Rage Powder (Lv 59); X-Scissor (Lv 66)
48,Venonat,Bug,Poison,60,55,50,40,55,45,305,Tackle (Lv 1); Disable (Lv 1); Supersonic (Lv 5); Confusion (Lv 11); Poison Powder (Lv 13); Psybeam (Lv 17); Stun Spore (Lv 23); Bug Buzz (Lv 25); Sleep Powder (Lv 29); Leech Life (Lv 35); Zen Headbutt (Lv 37); Poison Fang (Lv 41); Psychic (Lv 47)
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,Air Slash (Lv 0); Tackle (Lv 1); Supersonic (Lv 1); Disable (Lv 1); Quiver Dance (Lv 1); Confusion (Lv 11); Poison Powder (Lv 13); Psybeam (Lv 17); Stun Spore (Lv 23); Bug Buzz (Lv 25); Sleep Powder (Lv 29); Leech Life (Lv 37); Zen Headbutt (Lv 41); Poison Fang (Lv 47); Psychic (Lv 55)
50,Diglett,Ground,,10,55,25,35,45,95,265,Scratch (Lv 1); Sand Attack (Lv 1); Growl (Lv 4); Astonish (Lv 8); Mud-Slap (Lv 12); Bulldoze (Lv 16); Sucker Punch (Lv 20); Slash (Lv 24); Sandstorm (Lv 28); Dig (Lv 32); Earth Power (Lv 36); Earthquake (Lv 40); Fissure (Lv 44)
51,Dugtrio,Ground,,35,100,50,50,70,120,425,Sand Tomb (Lv 0); Scratch (Lv 1); Sand Attack (Lv 1); Growl (Lv 1); Tri Attack (Lv 1); Astonish (Lv 1); Night Slash (Lv 1); Mud-Slap (Lv 12); Bulldoze (Lv 16); Sucker Punch (Lv 20); Slash (Lv 24); Sandstorm (Lv 30); Dig (Lv 36); Earth Power (Lv 42); Earthquake (Lv 48); Fissure (Lv 54)
52,Meowth,Normal,,40,45,35,40,40,90,290,Growl (Lv 1); Fake Out (Lv 1); Feint (Lv 4); Scratch (Lv 8); Pay Day (Lv 12); Bite (Lv 16); Taunt (Lv 20); Assurance (Lv 24); Fury Swipes (Lv 29); Screech (Lv 32); Slash (Lv 36); Nasty Plot (Lv 40); Play Rough (Lv 44)
53,Persian,Normal,,65,70,60,65,65,115,440,Power Gem (Lv 0); Scratch (Lv 1); Growl (Lv 1); Fake Out (Lv 1); Feint (Lv 1); Switcheroo (Lv 1); Pay Day (Lv 12); Bite (Lv 16); Taunt (Lv 20); Assurance (Lv 24); Fury Swipes (Lv 31); Screech (Lv 36); Slash (Lv 42); Nasty Plot (Lv 48); Play Rough (Lv 54)
54,Psyduck,Water,,50,52,48,65,50,55,320,Scratch (Lv 1); Tail Whip (Lv 1); Water Gun (Lv 3); Confusion (Lv 6); Fury Swipes (Lv 9); Water Pulse (Lv 12); Disable (Lv 15); Zen Headbutt (Lv 18); Screech (Lv 21); Aqua Tail (Lv 24); Soak (Lv 27); Psych Up (Lv 30); Amnesia (Lv 34); Wonder Room (Lv 39)
55,Golduck,Water,,80,82,78,95,80,85,500,Scratch (Lv 1); Tail Whip (Lv 1); Water Gun (Lv 1); Confusion (Lv 1); Aqua Jet (Lv 1); Fury Swipes (Lv 9); Water Pulse (Lv 12); Disable (Lv 15); Zen Headbutt (Lv 18); Screech (Lv 21); Aqua Tail (Lv 24); Soak (Lv 27); Psych Up (Lv 30); Amnesia (Lv 36); Hydro Pump (Lv 40); Wonder Room (Lv 45)
56,Mankey,Fighting,,40,80,35,35,45,70,305,Scratch (Lv 1); Leer (Lv 1); Focus Energy (Lv 1); Covet (Lv 1); Fury Swipes (Lv 5); Low Kick (Lv 8); Seismic Toss (Lv 12); Swagger (Lv 17); Cross Chop (Lv 22); Assurance (Lv 26); Thrash (Lv 29); Close Combat (Lv 33); Screech (Lv 36); Stomping Tantrum (Lv 40); Outrage (Lv 44); Final Gambit (Lv 48)
57,Primeape,Fighting,,65,105,60,60,70,95,455,Scratch (Lv 1); Leer (Lv 1); Fling (Lv 1); Focus Energy (Lv 1); Fury Swipes (Lv 5); Low Kick (Lv 8); Seismic Toss (Lv 15); Swagger (Lv 17); Cross Chop (Lv 22); Assurance (Lv 26); Thrash (Lv 30); Rage Fist (Lv 35); Close Combat (Lv 39); Screech (Lv 44); Stomping Tantrum (Lv 48); Outrage (Lv 53); Final Gambit (Lv 57)
58,Growlithe,Fire,,55,70,45,70,50,60,350,Leer (Lv 1); Ember (Lv 1); Howl (Lv 4); Bite (Lv 8); Flame Wheel (Lv 12); Helping Hand (Lv 16); Agility (Lv 20); Fire Fang (Lv 24); Retaliate (Lv 28); Crunch (Lv 32); Take Down (Lv 36); Flamethrower (Lv 40); Roar (Lv 44); Play Rough (Lv 48); Reversal (Lv 52); Flare Blitz (Lv 56)
59,Arcanine,Fire,,90,110,80,100,80,95,555,Extreme Speed (Lv 0); Play Rough (Lv 1); Fire Fang (Lv 1); Flare Blitz (Lv 1); Howl (Lv 1); Helping Hand (Lv 1); Crunch (Lv 1); Retaliate (Lv 1); Reversal (Lv 1); Agility (Lv 1); Ember (Lv 1); Roar (Lv 1); Bite (Lv 1); Leer (Lv 1); Flame Wheel (Lv 1); Take Down (Lv 1); Flamethrower (Lv 5)
60,Poliwag,Water,,40,50,40,40,40,90,300,Water Gun (Lv 1); Hypnosis (Lv 1); Pound (Lv 6); Mud Shot (Lv 12); Bubble Beam (Lv 18); Rain Dance (Lv 24); Body Slam (Lv 30); Earth Power (Lv 36); Hydro Pump (Lv 42); Belly Drum (Lv 48); Double-Edge (Lv 54)
61,Poliwhirl,Water,,65,65,65,50,50,90,385,Pound (Lv 1); Water Gun (Lv 1); Hypnosis (Lv 1); Mud Shot (Lv 1); Bubble Beam (Lv 18); Rain Dance (Lv 24); Body Slam (Lv 32); Earth Power (Lv 40); Hydro Pump (Lv 48); Belly Drum (Lv 56); Double-Edge (Lv 66)
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510,Dynamic Punch (Lv 0); Body Slam (Lv 1); Bubble Beam (Lv 1); Hypnosis (Lv 1)
63,Abra,Psychic,,25,20,15,105,55,90,310,Teleport (Lv 1)
64,Kadabra,Psychic,,40,35,30,120,70,105,400,Confusion (Lv 0); Kinesis (Lv 1); Disable (Lv 1); Teleport (Lv 1); Psybeam (Lv 5); Reflect (Lv 10); Ally Switch (Lv 15); Psycho Cut (Lv 20); Recover (Lv 25); Psyshock (Lv 30); Psychic (Lv 35); Role Play (Lv 40); Future Sight (Lv 45); Calm Mind (Lv 50)
65,Alakazam,Psychic,,55,50,45,135,95,120,500,Confusion (Lv 1); Kinesis (Lv 1); Disable (Lv 1); Teleport (Lv 1); Psybeam (Lv 5); Reflect (Lv 10); Ally Switch (Lv 15); Psycho Cut (Lv 20); Recover (Lv 25); Psyshock (Lv 30); Psychic (Lv 35); Role Play (Lv 40); Future Sight (Lv 45); Calm Mind (Lv 50)
66,Machop,Fighting,,70,80,50,35,35,35,305,Low Kick (Lv 1); Leer (Lv 1); Focus Energy (Lv 4); Revenge (Lv 8); Low Sweep (Lv 12); Knock Off (Lv 16); Scary Face (Lv 20); Vital Throw (Lv 24); Strength (Lv 29); Dual Chop (Lv 32); Bulk Up (Lv 36); Seismic Toss (Lv 40); Dynamic Punch (Lv 44); Cross Chop (Lv 48); Double-Edge (Lv 52)
67,Machoke,Fighting,,80,100,70,50,60,45,405,Low Kick (Lv 1); Leer (Lv 1); Focus Energy (Lv 1); Revenge (Lv 1); Low Sweep (Lv 12); Knock Off (Lv 16); Scary Face (Lv 20); Vital Throw (Lv 24); Strength (Lv 31); Dual Chop (Lv 36); Bulk Up (Lv 42); Seismic Toss (Lv 48); Dynamic Punch (Lv 54); Cross Chop (Lv 60); Double-Edge (Lv 66)
68,Machamp,Fighting,,90,130,80,65,85,55,505,Wide Guard (Lv 1); Low Kick (Lv 1); Leer (Lv 1); Focus Energy (Lv 1); Revenge (Lv 1); Low Sweep (Lv 12); Knock Off (Lv 16); Scary Face (Lv 20); Vital Throw (Lv 24); Strength (Lv 31); Dual Chop (Lv 36); Bulk Up (Lv 42); Seismic Toss (Lv 48); Dynamic Punch (Lv 54); Cross Chop (Lv 60); Double-Edge (Lv 66)
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,Vine Whip (Lv 1); Growth (Lv 7); Wrap (Lv 11); Sleep Powder (Lv 13); Poison Powder (Lv 15); Stun Spore (Lv 17); Acid (Lv 23); Knock Off (Lv 27); Sweet Scent (Lv 29); Gastro Acid (Lv 35); Razor Leaf (Lv 39); Poison Jab (Lv 41); Slam (Lv 47); Power Whip (Lv 52)
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,Vine Whip (Lv 1); Wrap (Lv 1); Growth (Lv 1); Sleep Powder (Lv 13); Poison Powder (Lv 15); Stun Spore (Lv 17); Acid (Lv 24); Knock Off (Lv 29); Sweet Scent (Lv 32); Gastro Acid (Lv 39); Razor Leaf (Lv 44); Poison Jab (Lv 47); Slam (Lv 54); Power Whip (Lv 58)
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,Leaf Storm (Lv 0); Vine Whip (Lv 1); Razor Leaf (Lv 1); Sleep Powder (Lv 1); Sweet Scent (Lv 1); Leaf Blade (Lv 44)
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,Poison Sting (Lv 1); Water Gun (Lv 1); Acid (Lv 4); Wrap (Lv 8); Supersonic (Lv 12); Water Pulse (Lv 16); Screech (Lv 20); Bubble Beam (Lv 24); Hex (Lv 28); Acid Armor (Lv 32); Poison Jab (Lv 36); Surf (Lv 40); Sludge Wave (Lv 44); Hydro Pump (Lv 48)
